1,2012,Action
2,The Avengers,Action
3,Taken,Action
4,The Bourne Identity,Action
5,Death Proof,Action
6,Eagle Eye,Action
7,I am Legend,Action
8,Fast and the Furious,Action
9,Fight Club,Action
10,Final Call,Action
11,Ghetto Gangz,Action
12,San Andreas,Action
13,I am Legend,Action
14,Mission Impossible,Action
15,White House Down,Action
16,Australia,Drama
17,Babel,Drama
18,Beautiful Mind,Drama
19,The Best of Me,Drama
20,Black Swan,Drama
21,Blood Diamond,Drama
22,Breaking and Entering,Drama
23,Carolina Moon,Drama
24,Casablanca,Drama
25,Cast Away,Drama
26,City of God,Drama
27,The Constant Gardener,Drama
28,Dead Man Walking,Drama
29,The Departed,Drama
30,Django Unchained,Drama
31,Final Destination,Horror
32,Final Destination 2,Horror
33,Final Destination 3,Horror
34,Final Destination 4,Horror
35,From Dusk till Dawn,Horror
36,Ghost Ship,Horror
37,Gothika,Horror
38,Half Light,Horror
39,Identity,Horror
40,Silent Hill,Horror
41,Sixth Sense,Horror
42,Sphere,Horror
43,The Woman in Black,Horror
44,The Conjuring,Horror
45,The Conjuring 2,Horror
46,Batman Begins,Fantasy
47,Big Fish,Fantasy
48,Spider Man,Fantasy
49,The Brothers Grimm,Fantasy
50,Catwoman,Fantasy
51,Constantine,Fantasy
52,Daredevil,Fantasy
53,Eragon,Fantasy
54,Fantastic Four,Fantasy
55,Van Helsing,Fantasy
56,Wintersonnenwende,Fantasy
57,Pirates of the Caribbean,Fantasy
58,National Treasure,Fantasy
59,Lady in the Water,Fantasy
60,The League of Extraordinary Gentlemen,Fantasy
61,Exit,Crime
62,Gone Baby Gone,Crime
63,Gone Girl,Crime
64,Hostage,Crime
65,Inside Man,Crime
66,The Insider,Crime
67,Zodiac,Crime
68,Italian Job,Crime
69,Lord of War,Crime
70,One Way,Crime
71,Oxford Murders,Crime
72,Password Swordfish,Crime
73,Se7en,Crime
74,Shaft,Crime
75,Sin City,Crime
76,Shrek,Animation
77,Susi und Strolch,Animation
78,Tarzan,Animation
79,Toy Story,Animation
80,Zootopia,Animation
81,Kungfu Panda,Animation
82,Inside Out,Animation
83,Frozen,Animation
84,Coco,Animation
85,Finding Nemo,Animation
86,The Lion King,Animation
87,Finding Dory,Animation
88,Big Hero 6,Animation
89,Ice Age,Animation
90,Minions,Animation
91,Step Brothers,Comedy
92,American Pie,Comedy
93,Dumb and Dumber,Comedy
94,Hot Fuzz,Comedy
95,White Chicks,Comedy
96,The Hot Chick,Comedy
97,The Hangover,Comedy
98,Horrible Bosses,Comedy
99,Wedding Crashers,Comedy
100,Bad Teacher,Comedy
101,Taxi,Comedy
102,Due Date,Comedy
103,The Heat,Comedy
104,3 Idiots,Comedy
105,The Interview,Comedy
106,District 9,Sci-Fi
107,Guardians of the Galaxy,Sci-Fi
108,Men in Black,Sci-Fi
109,Interstellar,Sci-Fi
110,Inception,Sci-Fi
111,Star Wars,Sci-Fi
112,Arrival,Sci-Fi
113,The Terminator,Sci-Fi
114,The Matrix,Sci-Fi
115,Avatar,Sci-Fi
116,The Martian,Sci-Fi
117,Gravity,Sci-Fi
118,Star Trek,Sci-Fi
